microsite id,site,latitude,longitude,location,region,country,logger type,zone,tidal height (m),substrate,wave exposure,start date,end date,,,,,
BMRMZAECJO150,ZAECJO,-34.419813,21.357435,Jongensfontein,Eastern Cape,South Africa,8cm epoxy robomussel,Mid,N/A,Rocky,exposed,7/14/2014,8/11/2014,,,,,
BMRMZAECJO160,ZAECJO,-34.419813,21.357435,Jongensfontein,Eastern Cape,South Africa,8cm epoxy robomussel,Mid,N/A,Rocky,exposed,7/14/2014,8/11/2014,,,,,
BMRMZAECJO170,ZAECJO,-34.419813,21.357435,Jongensfontein,Eastern Cape,South Africa,8cm epoxy robomussel,Mid,N/A,Rocky,exposed,8/11/2014,1/20/2015,,,,,
BMRMZAECJO180,ZAECJO,-34.419813,21.357435,Jongensfontein,Eastern Cape,South Africa,8cm epoxy robomussel,Mid,N/A,Rocky,exposed,7/14/2014,8/11/2014,,,,,
BMRMZAECJO190,ZAECJO,-34.419813,21.357435,Jongensfontein,Eastern Cape,South Africa,8cm epoxy robomussel,Mid,N/A,Rocky,exposed,7/14/2014,8/11/2014,,,,,
BMRMZAECJO20,ZAECJO,-34.419813,21.357435,Jongensfontein,Eastern Cape,South Africa,8cm epoxy robomussel,Mid,N/A,Rocky,exposed,7/14/2014,1/20/2015,,,,,
BMRMZAECJO200,ZAECJO,-34.419813,21.357435,Jongensfontein,Eastern Cape,South Africa,8cm epoxy robomussel,Mid,N/A,Rocky,exposed,7/14/2014,8/11/2014,,,,,
BMRMZAECJO210,ZAECJO,-34.419813,21.357435,Jongensfontein,Eastern Cape,South Africa,8cm epoxy robomussel,Mid,N/A,Rocky,exposed,8/11/2014,11/6/2014,,,,,
BMRMZAECJO220,ZAECJO,-34.419813,21.357435,Jongensfontein,Eastern Cape,South Africa,8cm epoxy robomussel,Mid,N/A,Rocky,exposed,10/9/2014,12/6/2014,,,,,
BMRMZAECJO230,ZAECJO,-34.419813,21.357435,Jongensfontein,Eastern Cape,South Africa,8cm epoxy robomussel,Mid,N/A,Rocky,exposed,10/24/2014,12/6/2014,,,,,
BMRMZAECJO240,ZAECJO,-34.419813,21.357435,Jongensfontein,Eastern Cape,South Africa,8cm epoxy robomussel,Mid,N/A,Rocky,exposed,12/6/2014,1/20/2015,,,,,
BMRMZAECJO30,ZAECJO,-34.419813,21.357435,Jongensfontein,Eastern Cape,South Africa,8cm epoxy robomussel,Mid,N/A,Rocky,exposed,10/24/2014,12/6/2014,,,,,
BMRMZAECJO40,ZAECJO,-34.419813,21.357435,Jongensfontein,Eastern Cape,South Africa,8cm epoxy robomussel,Mid,N/A,Rocky,exposed,12/6/2014,1/20/2015,,,,,
BMRMZAECJO50,ZAECJO,-34.419813,21.357435,Jongensfontein,Eastern Cape,South Africa,8cm epoxy robomussel,Mid,N/A,Rocky,exposed,7/14/2014,8/11/2014,,,,,
